split,repeat,fold,cv_mode,model,n_features_final,inner_cv_auc,roc_auc,pr_auc,accuracy,f1,mcc,sensitivity,specificity,balanced_accuracy,threshold,tp,fp,tn,fn,ensemble_members
1,1,1,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7720355720075678,0.7554824561403508,0.6392945540579503,0.6993006993006993,0.5057471264367817,0.2962361354615881,0.4583333333333333,0.8210526315789474,0.6396929824561404,0.6176230981326584,22,17,78,26,
1,1,1,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7924364907521969,0.793640350877193,0.6759855221744994,0.7552447552447552,0.6601941747572816,0.4729758348487555,0.7083333333333334,0.7789473684210526,0.7436403508771929,0.45999999999999996,34,21,74,14,
1,1,1,stratified_group_kfold_similarity_aware,nu_svm,300,0.7857245939249685,0.7916666666666667,0.6817888983104186,0.7552447552447552,0.6728971962616822,0.4871811596828665,0.75,0.7578947368421053,0.7539473684210527,0.4344078788274765,36,23,72,12,
1,1,1,stratified_group_kfold_similarity_aware,rf,300,0.8135148344320579,0.8004385964912281,0.6417771459757293,0.7132867132867133,0.6495726495726496,0.439766915037941,0.7916666666666666,0.6736842105263158,0.7326754385964912,0.45000000000000007,38,31,64,10,
1,1,1,stratified_group_kfold_similarity_aware,extra_trees,300,0.8365514605921328,0.806798245614035,0.6889605030626322,0.7482517482517482,0.660377358490566,0.46842781740656736,0.7291666666666666,0.7578947368421053,0.743530701754386,0.5231026605387343,35,23,72,13,
1,1,1,stratified_group_kfold_similarity_aware,hist_gb,300,0.7953711611165057,0.7673245614035088,0.6113641742032623,0.7272727272727273,0.6138613861386139,0.4050329424932779,0.6458333333333334,0.7684210526315789,0.7071271929824561,0.6,31,22,73,17,
1,1,1,stratified_group_kfold_similarity_aware,xgb,300,0.8016696614367612,0.7695175438596491,0.6241713740522147,0.7062937062937062,0.6557377049180327,0.44930003383706696,0.8333333333333334,0.6421052631578947,0.737719298245614,0.39760279655456543,40,34,61,8,
1,1,1,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.7996148248945986,0.80109649122807,0.6994273925094161,0.7692307692307693,0.6732673267326733,0.4970176605078974,0.7083333333333334,0.8,0.7541666666666667,0.56,34,19,76,14,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
2,1,2,stratified_group_kfold_similarity_aware,logreg_l2,300,0.806590232032064,0.7489353464963222,0.6494678941673876,0.696551724137931,0.6451612903225806,0.38037245903687306,0.6349206349206349,0.7439024390243902,0.6894115369725126,0.45999999999999996,40,21,61,23,
2,1,2,stratified_group_kfold_similarity_aware,svm_rbf,300,0.8145377311444205,0.7502903600464575,0.6691770870613654,0.7172413793103448,0.6434782608695652,0.41794399815500005,0.5873015873015873,0.8170731707317073,0.7021873790166473,0.49227234919549356,37,15,67,26,
2,1,2,stratified_group_kfold_similarity_aware,nu_svm,300,0.8125823891155527,0.745838172667441,0.6718112589263847,0.7034482758620689,0.6126126126126126,0.3886325834239196,0.5396825396825397,0.8292682926829268,0.6844754161827332,0.47343897160826,34,14,68,29,
2,1,2,stratified_group_kfold_similarity_aware,rf,300,0.8368511734820775,0.7642276422764227,0.704124681457141,0.7310344827586207,0.6929133858267716,0.45372049291955874,0.6984126984126984,0.7560975609756098,0.7272551296941541,0.4348594100839543,44,20,62,19,
2,1,2,stratified_group_kfold_similarity_aware,extra_trees,300,0.8467937132021555,0.7930700735578783,0.7703906427696813,0.7103448275862069,0.65,0.40546533287175257,0.6190476190476191,0.7804878048780488,0.6997677119628339,0.5279696505844899,39,18,64,24,
2,1,2,stratified_group_kfold_similarity_aware,hist_gb,300,0.8225417714054712,0.77022841656988,0.6913285520809356,0.6896551724137931,0.5945945945945946,0.35906714554539476,0.5238095238095238,0.8170731707317073,0.6704413472706156,0.598187504621791,33,15,67,30,
2,1,2,stratified_group_kfold_similarity_aware,xgb,300,0.8243539037095656,0.7679055361982191,0.6887214602398732,0.7034482758620689,0.656,0.395462341927054,0.6507936507936508,0.7439024390243902,0.6973480449090206,0.5393076539039612,41,21,61,22,
2,1,2,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.823464416298758,0.7771970576848626,0.7061904973392081,0.7379310344827587,0.6666666666666666,0.4615670300829951,0.6031746031746031,0.8414634146341463,0.7223190089043747,0.5540593631302003,38,13,69,25,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
3,1,3,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7591397990144412,0.7980525803310613,0.7349743024433015,0.7430555555555556,0.704,0.4788415101271373,0.676923076923077,0.7974683544303798,0.7371957156767284,0.5065482359589439,44,16,63,21,
3,1,3,stratified_group_kfold_similarity_aware,svm_rbf,300,0.776662805142505,0.8185004868549173,0.7412281381150276,0.7569444444444444,0.7107438016528925,0.5073119547090684,0.6615384615384615,0.8354430379746836,0.7484907497565725,0.487150570906613,43,13,66,22,
3,1,3,stratified_group_kfold_similarity_aware,nu_svm,300,0.7775319442104188,0.8192794547224926,0.7517984466338452,0.7569444444444444,0.7107438016528925,0.5073119547090684,0.6615384615384615,0.8354430379746836,0.7484907497565725,0.4663507383772853,43,13,66,22,
3,1,3,stratified_group_kfold_similarity_aware,rf,300,0.8008858420122157,0.8072054527750732,0.7585876843256485,0.7569444444444444,0.72,0.5071474122036184,0.6923076923076923,0.810126582278481,0.7512171372930867,0.588864518262716,45,15,64,20,
3,1,3,stratified_group_kfold_similarity_aware,extra_trees,300,0.8176656083750826,0.8181110029211295,0.7843152293203699,0.7569444444444444,0.7286821705426356,0.5086304807226517,0.7230769230769231,0.7848101265822784,0.7539435248296007,0.5,47,17,62,18,
3,1,3,stratified_group_kfold_similarity_aware,hist_gb,300,0.7856514192997496,0.8196689386562804,0.7868951220040002,0.7569444444444444,0.7154471544715447,0.5070177990469428,0.676923076923077,0.8227848101265823,0.7498539435248297,0.52,44,14,65,21,
3,1,3,stratified_group_kfold_similarity_aware,xgb,300,0.8006866395107064,0.7927945472249271,0.744554415435492,0.75,0.7230769230769231,0.4952288218111003,0.7230769230769231,0.7721518987341772,0.7476144109055501,0.5367475152015686,47,18,61,18,
3,1,3,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.7883177225093027,0.8214216163583252,0.7609412201854518,0.7777777777777778,0.7538461538461538,0.5513145082765336,0.7538461538461538,0.7974683544303798,0.7756572541382668,0.47,49,16,63,16,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
4,1,4,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7086341414106481,0.8901033386327504,0.9004357875968098,0.7605633802816901,0.7536231884057971,0.5210486155119826,0.7647058823529411,0.7567567567567568,0.760731319554849,0.47674511484657844,52,18,56,16,
4,1,4,stratified_group_kfold_similarity_aware,svm_rbf,300,0.722059682618373,0.9002384737678855,0.9007795742463399,0.8098591549295775,0.8029197080291971,0.6193267225000857,0.8088235294117647,0.8108108108108109,0.8098171701112877,0.3993770005878924,55,14,60,13,
4,1,4,stratified_group_kfold_similarity_aware,nu_svm,300,0.7215449846530452,0.9121621621621622,0.9141089747133245,0.8450704225352113,0.8333333333333334,0.6899496272981072,0.8088235294117647,0.8783783783783784,0.8436009538950715,0.39500493417985366,55,9,65,13,
4,1,4,stratified_group_kfold_similarity_aware,rf,300,0.7825184724071047,0.9115659777424484,0.9053120117639023,0.823943661971831,0.8251748251748252,0.6518844176260362,0.8676470588235294,0.7837837837837838,0.8257154213036566,0.4812336002954049,59,16,58,9,
4,1,4,stratified_group_kfold_similarity_aware,extra_trees,300,0.7899626594048493,0.9185214626391097,0.9164713456649056,0.8098591549295775,0.8137931034482758,0.6260857563755269,0.8676470588235294,0.7567567567567568,0.8122019077901431,0.424064407681996,59,18,56,9,
4,1,4,stratified_group_kfold_similarity_aware,hist_gb,300,0.7605508448277812,0.8960651828298888,0.8936075680923109,0.8169014084507042,0.8142857142857143,0.6350280001552288,0.8382352941176471,0.7972972972972973,0.8177662957074722,0.48731154562752416,57,15,59,11,
4,1,4,stratified_group_kfold_similarity_aware,xgb,300,0.7672208029313367,0.8936804451510333,0.8977550800400731,0.8028169014084507,0.8108108108108109,0.6165092002804687,0.8823529411764706,0.7297297297297297,0.8060413354531002,0.4062013030052185,60,20,54,8,
4,1,4,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.7503559411790197,0.9165341812400637,0.9194656399373811,0.8380281690140845,0.8296296296296296,0.6753506657284988,0.8235294117647058,0.8513513513513513,0.8374403815580286,0.49,56,11,63,12,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
5,1,5,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7626445859538765,0.7375079063883617,0.5635426590996186,0.7222222222222222,0.574468085106383,0.37346355378740925,0.5294117647058824,0.8279569892473119,0.6786843769765971,0.545804726892742,27,16,77,24,
5,1,5,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7794359460413082,0.7625975121231289,0.5951630824331768,0.7291666666666666,0.6213592233009708,0.41062624402481446,0.6274509803921569,0.7849462365591398,0.7061986084756483,0.43605822571739533,32,20,73,19,
5,1,5,stratified_group_kfold_similarity_aware,nu_svm,300,0.7819209629640964,0.7402487876871178,0.5864404906395535,0.7430555555555556,0.5934065934065934,0.416033918426809,0.5294117647058824,0.8602150537634409,0.6948134092346616,0.52,27,13,80,24,
5,1,5,stratified_group_kfold_similarity_aware,rf,300,0.8136021664220751,0.8041324056504322,0.6643818842136444,0.7569444444444444,0.7058823529411765,0.5211129804044728,0.8235294117647058,0.7204301075268817,0.7719797596457938,0.43000000000000005,42,26,67,9,
5,1,5,stratified_group_kfold_similarity_aware,extra_trees,300,0.8302343422898611,0.8142525827535315,0.7111105124601519,0.7430555555555556,0.6890756302521008,0.4920276047539906,0.803921568627451,0.7096774193548387,0.7567994939911449,0.4030822144499957,41,27,66,10,
5,1,5,stratified_group_kfold_similarity_aware,hist_gb,300,0.7983792571372673,0.7988614800759014,0.642811629510687,0.7083333333333334,0.671875,0.457887597339803,0.8431372549019608,0.6344086021505376,0.7387729285262492,0.3936480475748967,43,34,59,8,
5,1,5,stratified_group_kfold_similarity_aware,xgb,300,0.7973538300162627,0.7942230655703142,0.6431302024517597,0.7291666666666666,0.6929133858267716,0.49687516736240434,0.8627450980392157,0.6559139784946236,0.7593295382669196,0.387828528881073,44,32,61,7,
5,1,5,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.7947958701178212,0.7872654438119335,0.640114526410237,0.7708333333333334,0.7079646017699115,0.5290659520339047,0.7843137254901961,0.7634408602150538,0.773877292852625,0.42675566101561857,40,22,71,11,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
6,2,1,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7764099853353562,0.7295839753466873,0.703536626904423,0.7142857142857143,0.6037735849056604,0.39090029926170294,0.5423728813559322,0.8295454545454546,0.6859591679506933,0.5595746711908043,32,15,73,27,
6,2,1,stratified_group_kfold_similarity_aware,svm_rbf,300,0.788168163628265,0.7813944530046225,0.7388239947507298,0.7482993197278912,0.7086614173228346,0.49287730851627,0.7627118644067796,0.7386363636363636,0.7506741140215716,0.3785092722002151,45,23,65,14,
6,2,1,stratified_group_kfold_similarity_aware,nu_svm,300,0.7794829640513067,0.7968027734976888,0.7504107662291025,0.7687074829931972,0.7213114754098361,0.5248235695425715,0.7457627118644068,0.7840909090909091,0.7649268104776579,0.3773018983239947,44,19,69,15,
6,2,1,stratified_group_kfold_similarity_aware,rf,300,0.8128961258644091,0.8301232665639446,0.7762179184256235,0.7891156462585034,0.7559055118110236,0.5763805328941706,0.8135593220338984,0.7727272727272727,0.7931432973805855,0.3947458529944313,48,20,68,11,
6,2,1,stratified_group_kfold_similarity_aware,extra_trees,300,0.8263922338937246,0.8372496147919877,0.7978541180306559,0.7755102040816326,0.7079646017699115,0.527584338984937,0.6779661016949152,0.8409090909090909,0.759437596302003,0.5532736735340014,40,14,74,19,
6,2,1,stratified_group_kfold_similarity_aware,hist_gb,300,0.8122500361069426,0.7786979969183359,0.7195101382693184,0.7414965986394558,0.6545454545454545,0.45281193475853326,0.6101694915254238,0.8295454545454546,0.7198574730354392,0.5700000000000001,36,15,73,23,
6,2,1,stratified_group_kfold_similarity_aware,xgb,300,0.8115015414358346,0.8312788906009245,0.792965443053704,0.7687074829931972,0.734375,0.5368750263757119,0.7966101694915254,0.75,0.7733050847457628,0.5122383236885071,47,22,66,12,
6,2,1,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.8010144357594056,0.8129815100154083,0.7797650983243533,0.7891156462585034,0.752,0.5722759531385174,0.7966101694915254,0.7840909090909091,0.7903505392912172,0.44905265886594836,47,19,69,12,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
7,2,2,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7506787770659313,0.7860054347826086,0.6566417445972716,0.7464788732394366,0.6086956521739131,0.421195652173913,0.6086956521739131,0.8125,0.7105978260869565,0.54,28,18,78,18,
7,2,2,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7693898245013321,0.7941576086956522,0.6679937312935696,0.7605633802816901,0.6666666666666666,0.48832686197597724,0.7391304347826086,0.7708333333333334,0.754981884057971,0.43000000000000005,34,22,74,12,
7,2,2,stratified_group_kfold_similarity_aware,nu_svm,300,0.7729504981422912,0.7959692028985507,0.681232070500116,0.7112676056338029,0.6371681415929203,0.4309366909536314,0.782608695652174,0.6770833333333334,0.7298460144927537,0.357203753297501,36,31,65,10,
7,2,2,stratified_group_kfold_similarity_aware,rf,300,0.7971351336739384,0.827445652173913,0.7344576987710484,0.7464788732394366,0.6785714285714286,0.5014396904608289,0.8260869565217391,0.7083333333333334,0.7672101449275363,0.4,38,28,68,8,
7,2,2,stratified_group_kfold_similarity_aware,extra_trees,300,0.8078389605240631,0.8697916666666666,0.7987103517849464,0.7464788732394366,0.660377358490566,0.47412754831646475,0.7608695652173914,0.7395833333333334,0.7502264492753623,0.4122055762553883,35,25,71,11,
7,2,2,stratified_group_kfold_similarity_aware,hist_gb,300,0.7706712080663909,0.7989130434782609,0.652421493873291,0.6971830985915493,0.6324786324786325,0.4213504858001922,0.8043478260869565,0.6458333333333334,0.725090579710145,0.3631616248531073,37,34,62,9,
7,2,2,stratified_group_kfold_similarity_aware,xgb,300,0.7755249191288441,0.7982336956521738,0.6773369128688619,0.6830985915492958,0.6153846153846154,0.3912540225287499,0.782608695652174,0.6354166666666666,0.7090126811594203,0.33618292212486267,36,35,61,10,
7,2,2,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.777741331586113,0.8274456521739131,0.7287182299493744,0.8309859154929577,0.7209302325581395,0.6035795424519423,0.6739130434782609,0.90625,0.7900815217391304,0.5784040988050725,31,9,87,15,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
8,2,3,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7550233624731838,0.7886493458632762,0.7099933407636209,0.777027027027027,0.7401574803149606,0.548477958213135,0.7014925373134329,0.8395061728395061,0.7704993550764695,0.5285393062737178,47,13,68,20,
8,2,3,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7620064977395439,0.8113138013635526,0.7279699274712298,0.7635135135135135,0.7008547008547008,0.5270738885086311,0.6119402985074627,0.8888888888888888,0.7504145936981758,0.5368363710749983,41,9,72,26,
8,2,3,stratified_group_kfold_similarity_aware,nu_svm,300,0.7573285849963388,0.8138934954855354,0.7332963149152645,0.777027027027027,0.736,0.5489907781474035,0.6865671641791045,0.8518518518518519,0.7692095080154782,0.48,46,12,69,21,
8,2,3,stratified_group_kfold_similarity_aware,rf,300,0.8049079589592353,0.816473189607518,0.7440058354309435,0.75,0.7338129496402878,0.4998666333630497,0.7611940298507462,0.7407407407407407,0.7509673852957435,0.4944100859160098,51,21,60,16,
8,2,3,stratified_group_kfold_similarity_aware,extra_trees,300,0.8206950515152358,0.8339782568638291,0.793867586639913,0.777027027027027,0.7480916030534351,0.5487425770406574,0.7313432835820896,0.8148148148148148,0.7730790491984522,0.5028376725915534,49,15,66,18,
8,2,3,stratified_group_kfold_similarity_aware,hist_gb,300,0.7977266498172496,0.8056016215220195,0.7662236551638053,0.7635135135135135,0.7368421052631579,0.5221888938000178,0.7313432835820896,0.7901234567901234,0.7607333701861065,0.48712248129131086,49,17,64,18,
8,2,3,stratified_group_kfold_similarity_aware,xgb,300,0.7917283763011986,0.7967569559609361,0.7259056156003789,0.7567567567567568,0.7534246575342466,0.5234430831412651,0.8208955223880597,0.7037037037037037,0.7622996130458817,0.4,55,24,57,12,
8,2,3,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.7842023545431408,0.8183158282660771,0.75017072065906,0.7972972972972973,0.7727272727272727,0.5900968322077043,0.7611940298507462,0.8271604938271605,0.7941772618389533,0.49,51,14,67,16,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
9,2,4,stratified_group_kfold_similarity_aware,logreg_l2,300,0.782237643512682,0.7416161616161615,0.6945359837095643,0.723404255319149,0.7272727272727273,0.4555589350779961,0.7878787878787878,0.6666666666666666,0.7272727272727273,0.4893831794394515,52,25,50,14,
9,2,4,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7967439546985001,0.7468686868686868,0.7073994554666939,0.7092198581560284,0.6821705426356589,0.41484461198869643,0.6666666666666666,0.7466666666666667,0.7066666666666667,0.4844975158409215,44,19,56,22,
9,2,4,stratified_group_kfold_similarity_aware,nu_svm,300,0.792052354567763,0.7535353535353535,0.7305311691498464,0.6808510638297872,0.628099173553719,0.35711703594090244,0.5757575757575758,0.7733333333333333,0.6745454545454546,0.53,38,17,58,28,
9,2,4,stratified_group_kfold_similarity_aware,rf,300,0.8338139613910031,0.7759595959595958,0.7207791927187144,0.7375886524822695,0.7299270072992701,0.47661387189117016,0.7575757575757576,0.72,0.7387878787878788,0.4958993689548406,50,21,54,16,
9,2,4,stratified_group_kfold_similarity_aware,extra_trees,300,0.8393034349659928,0.7818181818181819,0.7474869287710246,0.7092198581560284,0.6821705426356589,0.41484461198869643,0.6666666666666666,0.7466666666666667,0.7066666666666667,0.541959663064449,44,19,56,22,
9,2,4,stratified_group_kfold_similarity_aware,hist_gb,300,0.8130737524188989,0.7666666666666666,0.7437363135363023,0.6879432624113475,0.6716417910447762,0.37462212055130767,0.6818181818181818,0.6933333333333334,0.6875757575757575,0.5268532844642505,45,23,52,21,
9,2,4,stratified_group_kfold_similarity_aware,xgb,300,0.8260287129123801,0.7664646464646464,0.7159862471126951,0.6879432624113475,0.6716417910447762,0.37462212055130767,0.6818181818181818,0.6933333333333334,0.6875757575757575,0.5685482621192932,45,23,52,21,
9,2,4,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.8118934020667457,0.771919191919192,0.7396384270657295,0.7375886524822695,0.7482993197278912,0.49115216855359306,0.8333333333333334,0.6533333333333333,0.7433333333333334,0.4,55,26,49,11,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
10,2,5,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7647889868478104,0.8027901077996195,0.7188796915562615,0.7285714285714285,0.6415094339622641,0.4282616143136151,0.5964912280701754,0.8192771084337349,0.7078841682519552,0.55,34,15,68,23,
10,2,5,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7741377604822984,0.8089198900866625,0.732621933400953,0.7428571428571429,0.6727272727272727,0.46225179598839855,0.6491228070175439,0.8072289156626506,0.7281758613400973,0.478063147921493,37,16,67,20,
10,2,5,stratified_group_kfold_similarity_aware,nu_svm,300,0.775185963001089,0.808708518283661,0.7423678680988954,0.7285714285714285,0.6481481481481481,0.4300814718465488,0.6140350877192983,0.8072289156626506,0.7106320016909744,0.5061129890975876,35,16,67,22,
10,2,5,stratified_group_kfold_similarity_aware,rf,300,0.8168815383101098,0.7917987740435425,0.7021419920188174,0.75,0.7368421052631579,0.5269917451729869,0.8596491228070176,0.6746987951807228,0.7671739589938702,0.44000000000000006,49,27,56,8,
10,2,5,stratified_group_kfold_similarity_aware,extra_trees,300,0.8290752801257003,0.8177975058127246,0.7504833803592633,0.7285714285714285,0.6885245901639344,0.45289286344426255,0.7368421052631579,0.7228915662650602,0.729866835764109,0.4144391908726387,42,23,60,15,
10,2,5,stratified_group_kfold_similarity_aware,hist_gb,300,0.7999842333875947,0.7841893891354893,0.6956088417286109,0.7071428571428572,0.6306306306306306,0.38871007123840096,0.6140350877192983,0.7710843373493976,0.6925597125343479,0.5577566533316219,35,19,64,22,
10,2,5,stratified_group_kfold_similarity_aware,xgb,300,0.8011721341553276,0.7922215176495456,0.6934733598127905,0.7357142857142858,0.7175572519083969,0.4913778679512573,0.8245614035087719,0.6746987951807228,0.7496300993447473,0.4513643980026245,47,27,56,10,
